Study_ID,Species_scientific_name,Species_common_name,Comment
S_046,Rattus norvegicus,Albino Wistar rat,The authors did not report the scientific name
S_046,Mus musculus,Kumming mice,The authors did not report the scientific name
S_046,Danio rerio,Zebrafish,The authors did not report the scientific name
S_046,Dugesia japonica,Planarian,The authors did not report the scientific name
S_046,Glyptocidaris crenularis,Sea urchin,The authors did not report the scientific name
S_050,Mus musculus,CD1 mice,The authors did not report the scientific name
S_050,Mus musculus,C57Bl/6 mice,The authors did not report the scientific name
S_050,Mus musculus,Kumming mice,The authors did not report the scientific name
S_050,Rattus norvegicus,Sprague Dawley rat,The authors did not report the scientific name
S_050,Mus musculus,BALB/c mice,The authors did not report the scientific name
S_052,Accipiter gentilis,Northern goshawk,na
S_052,Haliaeetus albicilla,White-tailed eagle,na
S_052,Neophron percnopterus,Egyptian vulture,na
S_052,Peregrine falcon,Peregrine falcon,na
S_052,Pandion haliaetus,Osprey,na
S_052,Strix aluco,Tawny owl,na
S_052,Falco tinnunculus,Common kestrel,na
S_052,Tyto alba,Barn owl,na
S_052,Aquila chrysaetos,Golden eagle,na
S_052,Accipiter nisus,Eurasian sparrowhawk,na
S_067,Rattus norvegicus,Sprague Dawley rat,The authors did not report the scientific name
S_067,Danio rerio,Zebrafish,The authors did not report the scientific name
S_067,Mus musculus,BALB/c mice,The authors did not report the scientific name
S_067,Mus musculus,BALB/cAnN mice,The authors did not report the scientific name
S_067,Mus musculus,NSG mice,The authors did not report the scientific name
S_079,Caenorhabditis elegans,Roundworm,The authors did not report the common name
S_079,Dugesia japonica,na,The authors did not report the common name
S_079,Rana pipiens,Northern leopard frog,The authors did not report the common name
S_079,Danio rerio,Zebrafish,The authors did not report the common name
S_079,Oryzias melastigma,na,The authors did not report the common name
S_079,Ursus maritimus,Polar bear,The authors did not report the common name
S_079,Oreochromis mossambicus,Mozambique tilapia,The authors did not report the common name
S_079,Tursiops truncatus,Bottlenose dolphin,The authors did not report the common name
S_079,Pusa hispida,Ringed seal,The authors did not report the common name
S_079,Tachycineta bicolor,Tree swallow,The authors did not report the common name
S_079,Sus scrofa,Wild boar,The authors did not report the common name
S_079,Oryzias melastigma,na,The authors did not report the common name
S_088,Salvelinus namaycush,Lake trout,na
S_088,Larus argentatus,Herring Gull,na
S_089,Haliaeetus leucocephalus,Bald Eagle,The authors did not report the scientific name
S_089,Salvelinus namaycush,Lake trout,The authors did not report the scientific name
S_090,Macaca fascicularis,Cynomolgus monkey,The authors did not report the scientific name
S_090,Rattus norvegicus,Sprague Dawley rat,The authors did not report the scientific name
S_090,Mus musculus,Mice,The authors did not report the scientific name
S_092,Aetobatus narinari,Spotted eagle ray,The authors did not report the common name
S_092,Dasyatis americana,Southern stingray,The authors did not report the common name
S_092,Dasyatis fluviorum,Estuary stingray,The authors did not report the common name
S_092,Himantura astra,Black-spotted whipray,The authors did not report the common name
S_092,Himantura toshi,Brown whipray,The authors did not report the common name
S_092,Himantura uarnak,Reticulate whipray,The authors did not report the common name
S_092,Neotrygon kuhlii,Bluespotted stingray,The authors did not report the common name
S_093,Danio rerio,Zebrafish,The authors did not report the scientific name
S_093,Caenorhabditis elegans,Roundworm,The authors did not report the common name
S_093,Oryzias melastigma,Ricefish,The authors did not report the common name
S_093,Daphnia magna,Daphnia,The authors did not report the common name
S_093,Rattus norvegicus,Sprague Dawley rat,The authors did not report the scientific name
S_093,Mus musculus,Mice,The authors did not report the scientific name
S_094,Rattus norvegicus,Sprague Dawley rat,The authors did not report the scientific name
S_094,Rattus norvegicus,Wistar rat,The authors did not report the scientific name
S_094,Leporidae,Rabbit,The authors did not report the scientific name
S_094,Macaca fascicularis,Cynomolgus monkey,The authors did not report the scientific name
S_094,Sus domesticus,Pig,The authors did not report the scientific name
S_098,Rattus norvegicus,Sprague Dawley rat,The authors did not report the scientific name
S_098,Diporeia,Diporeia,The authors did not report the common name
S_098,Moina,Plankton,The authors did not report the scientific name
S_098,Mysids,Opossum shrimps,The authors did not report the common name
S_098,Salvelinus namaycush,Lake trout,The authors did not report the common name
S_098,Cottus cognatus,Slimy sculpin,The authors did not report the common name
S_098,Alosa pseudoharengus,Alewife,The authors did not report the common name
S_098,Neogobius melanostomus,Round goby,The authors did not report the common name
S_098,Osmerus mordax,Rainbow smelt,The authors did not report the common name
S_103,Strix aluco,Tawny Owl,na
S_103,Falco peregrinus,Peregrine falco,na
S_103,Fulmarus glacialis,Northern fulmar,na
S_103,Uria lomvia,Thick-billed murre,na
S_103,Enhydra lutris kenyoni,Northern Sea Otters,na
S_103,Phoca vitulina,Harbor Seal,na
S_103,Phoca hispida,Ringed seal,na
S_103,Ursus maritimus,Polar Bear,na
S_103,Ardea herodias,Great blue heron,na
S_103,Tursiops truncatus,Bottlenose Dolphin,na
S_103,Capreolus capreolus,Roe Deer,na
S_103,Larus argentatus,Herring gull,na
S_103,Phocoena phocoena,Harbor porpoise,na
S_103,Salvelinus namaycush,Lake trout,na
S_103,Peponocephala electra,Melon-headed Whale,na
S_103,Uria aalge,Guillemot,na
S_103,Phocoena hocoena,Harbor porpoise,na
S_103,Pusa sibirica,Baikal seal,na
S_103,Gallus domesticus,Hen,na
S_103,Bos taurus,Cow,na
S_103,Oncorhynchus mykiss,Rainbow trout,na
S_103,Haliaeetus albicilla,White-tailed sea eagle,na
S_103,Enhydra lutris nereis,Sea otter,na
S_103,Halichoerus grypus,Grey seal,na
S_103,Anguilla anguilla,Eel,na
S_103,Cerorhinca monocerata,Rhinoceros auklet,na
S_103,Oceanodroma leucorhoa,Leach's storm petrel,na
S_103,Phalacrocorax auritus,Double-crested cormorant,na
S_103,Mytilus edulis,Mussel,na
S_103,Cyprinus carpio,Carp,na
S_103,Caretta caretta,Loggerhead sea turtle,na
S_103,Delphinapterus leucas,Beluga Whale,na
S_103,Phoca hisida,Ringed seal,na
S_103,Lutra lutra,Otter,na
S_103,Globicephala melas,Pilot Whale,na
S_103,Lagenorhynchus acutus,Atlantic white-sided dolphin,na
S_103,Cystophora cristata,Hooded Seal,na
S_103,Balaenoptera physalus,Fin whale,na
S_103,Haliaeetus leucocephalus,Bald Eagle,na
S_103,Mytilus edulis,Blue mussel,na
S_103,Zoarces viviparus,Eelpout,na
S_103,Clupea Harengus,Herring ,na
S_114,Mus musculus,C57BL/6J-Apc mice,The authors did not report the scientific name
S_114,Rattus norvegicus,Sprague Dawley rat,The authors did not report the scientific name
S_120,Mus musculus,Mice,The authors did not report the scientific name
S_120,Rattus norvegicus,Sprague Dawley rat,The authors did not report the scientific name
S_123,,,The review authors did not provide a list of included species in the included studies in the review (it's a narrative review). Remove from this datasheet? 
S_136,Mus musculus,C57Bl/6 mice,The authors did not report the scientific name
S_136,Mus musculus,CD1 mice,The authors did not report the scientific name
